NNR HeNR MRCI1
1 4.9 -3038.52733399756
1 5 -3038.5270945372745
1 5.1 -3038.526876846106
1 5.2 -3038.526678202914
1 5.3 -3038.5265013288395
1 5.4 -3038.5263407816024
1 5.5 -3038.526196561203
1.1 1.25 -3019.1369856629694
1.1 1.35 -3026.120453050723
1.1 1.4500000000000002 -3030.8432166984658
1.1 1.55 -3034.019194794277
1.1 1.6500000000000001 -3036.110064047809
1.1 1.75 -3037.457210471113
1.1 1.85 -3038.3143912173796
1.1 1.95 -3038.8584858035388
1.1 2.05 -3039.19966500898
1.1 2.1500000000000004 -3039.3949503142317
1.1 2.25 -3039.468094546948
1.1 2.35 -3039.4354191025113
1.1 2.45 -3039.3317273565326
1.1 2.55 -3039.4216446938053
1.1 2.6500000000000004 -3039.535216897708
1.1 2.75 -3039.6042930267076
1.1 2.8499999999999996 -3039.647145533286
1.1 2.95 -3039.6737501152534
1.1 3.05 -3039.6900823951923
1.1 3.1500000000000004 -3039.699894824626
1.1 3.25 -3039.7055874486905
1.1 3.3499999999999996 -3039.7086977112644
1.1 3.45 -3039.7102025014688
1.1 3.55 -3039.710719517994
1.1 3.6500000000000004 -3039.710646047225
1.1 3.75 -3039.7102405974233
1.1 3.8499999999999996 -3039.7096664369656
1.1 3.95 -3039.7090296902966
1.1 4.05 -3039.708398385907
1.1 4.15 -3039.707802456333
1.1 4.25 -3039.7072555072714
1.1 4.35 -3039.706768423281
1.1 4.45 -3039.706330319804
1.1 4.55 -3039.7059384756994
1.1 4.6499999999999995 -3039.705582006411
1.1 4.75 -3039.705260911937
1.1 4.85 -3039.704969749999
1.1 4.95 -3039.704703078317
1.1 5.05 -3039.704458175752
1.1 5.1499999999999995 -3039.7042377634434
1.1 5.25 -3039.704039120252
1.1 5.35 -3039.7038622461773
1.1 5.45 -3039.70370169894
1.1 5.55 -3039.703557478541
1.2 1.2999999999999998 -3019.714721698127
1.2 1.4 -3026.2871092461373
1.2 1.5 -3030.7340935578254
1.2 1.6 -3033.7618484579407
1.2 1.7000000000000002 -3035.785619850969
1.2 1.7999999999999998 -3037.113269308967
1.2 1.9 -3037.9789291262587
1.2 2 -3038.5471003556872
1.2 2.1 -3038.92015499052
1.2 2.2 -3039.1524777270033
1.2 2.3 -3039.268343851597
1.2 2.4 -3039.2797889647964
1.2 2.5 -3039.202810646369
1.2 2.6 -3039.0868111859345
1.2 2.7 -3039.196503044753
1.2 2.8000000000000003 -3039.278768537443
1.2 2.9 -3039.3278769439844
1.2 3 -3039.3577686626004
1.2 3.1 -3039.375934990637
1.2 3.2 -3039.3868086645184
1.2 3.3000000000000003 -3039.3931189872737
1.2 3.4 -3039.3965911614164
1.2 3.5 -3039.3983054793707
1.2 3.6 -3039.3989449471787
1.2 3.7 -3039.3989449471787
1.2 3.8000000000000003 -3039.3985857567504
1.2 3.9 -3039.3980442499683
1.2 4 -3039.3974347146955
1.2 4.1 -3039.3968197371437
1.2 4.2 -3039.396237413267
1.2 4.3 -3039.395701348764
1.2 4.3999999999999995 -3039.3952169859135
1.2 4.5 -3039.3947816035757
1.2 4.6 -3039.394387038332
1.2 4.699999999999999 -3039.394033290183
1.2 4.8 -3039.3937094745693
1.2 4.8999999999999995 -3039.3934155914912
1.2 5 -3039.3931489198094
1.2 5.1 -3039.392906738384
1.2 5.199999999999999 -3039.3926890472153
1.2 5.3 -3039.392490404024
1.2 5.3999999999999995 -3039.392313529949
1.2 5.5 -3039.392152982712
1.2 5.6 -3039.3920114834523
1.3 1.35 -3020.0242812613
1.3 1.4500000000000002 -3026.0770780853395
1.3 1.55 -3030.125355579091
1.3 1.65 -3032.939571769451
1.3 1.75 -3034.8660460945844
1.3 1.85 -3036.1589547631816
1.3 1.9500000000000002 -3037.022203650779
1.3 2.05 -3037.603139746118
1.3 2.15 -3037.9950981378215
1.3 2.25 -3038.250324706402
1.3 2.35 -3038.3953723321733
1.3 2.45 -3038.443063024978
1.3 2.55 -3038.402450016299
1.3 2.65 -3038.288382564987
1.3 2.75 -3038.179664874149
1.3 2.85 -3038.282025982858
1.3 2.9499999999999997 -3038.3430040003786
1.3 3.05 -3038.3786618138283
1.3 3.15 -3038.399935683299
1.3 3.25 -3038.412580819067
1.3 3.35 -3038.4199360594325
1.3 3.4499999999999997 -3038.4240286534064
1.3 3.55 -3038.4261212097663
1.3 3.65 -3038.4269919744415
1.3 3.75 -3038.427136194841
1.3 3.85 -3038.426869523159
1.3 3.9499999999999997 -3038.426387881448
1.3 4.05 -3038.4258137209904
1.3 4.15 -3038.4252259548343
1.3 4.25 -3038.424657236656
1.3 4.3500000000000005 -3038.4241293355717
1.3 4.45 -3038.42365313614
1.3 4.55 -3038.423220474942
1.3 4.65 -3038.422831351978
1.3 4.75 -3038.4224776038286
1.3 4.8500000000000005 -3038.4221565093544
1.3 4.95 -3038.4218653474163
1.3 5.050000000000001 -3038.4215986757345
1.3 5.15 -3038.421359215449
1.3 5.25 -3038.42114152428
1.3 5.3500000000000005 -3038.4209456022277
1.3 5.45 -3038.4207687281532
1.3 5.550000000000001 -3038.4206136231955
1.3 5.65 -3038.420472123936
1.4 1.4 -3020.325522300686
1.4 1.5 -3025.8811288220236
1.4 1.6 -3029.4649894185363
1.4 1.7 -3032.003777299851
1.4 1.8 -3033.8000723060422
1.4 1.9 -3035.0408820356665
1.4 2 -3035.8895347303956
1.4 2.0999999999999996 -3036.4719810582183
1.4 2.2 -3036.8716892555312
1.4 2.3 -3037.138793598509
1.4 2.4 -3037.3020973499238
1.4 2.5 -3037.377170870624
1.4 2.5999999999999996 -3037.3714537563037
1.4 2.7 -3037.2908372742177
1.4 2.8 -3037.1467855855435
1.4 2.9000000000000004 -3037.0628710822502
1.4 3 -3037.147612811985
1.4 3.0999999999999996 -3037.193521158345
1.4 3.2 -3037.2198536263513
1.4 3.3 -3037.235241670846
1.4 3.4000000000000004 -3037.2441860567437
1.4 3.5 -3037.249231049581
1.4 3.5999999999999996 -3037.251895045259
1.4 3.7 -3037.253119558083
1.4 3.8 -3037.2534950753497
1.4 3.9000000000000004 -3037.2533644606483
1.4 4 -3037.252978058824
1.4 4.1 -3037.252463763438
1.4 4.2 -3037.251911372097
1.4 4.3 -3037.2513644230353
1.4 4.4 -3037.2508528487883
1.4 4.5 -3037.250382091636
1.4 4.6 -3037.2499603149963
1.4 4.7 -3037.249573913172
1.4 4.8 -3037.249225607302
1.4 4.9 -3037.2489099551067
1.4 5 -3037.248621514308
1.4 5.1000000000000005 -3037.2483575637657
1.4 5.2 -3037.24812082462
1.4 5.3 -3037.247905854591
1.4 5.4 -3037.247709932539
1.4 5.5 -3037.247535779604
1.4 5.6000000000000005 -3037.2473779535067
1.4 5.7 -3037.2472391753863
1.5 1.45 -3020.5883109162423
1.5 1.55 -3025.7874644755075
1.5 1.65 -3028.9502858613046
1.5 1.75 -3031.1835741197447
1.5 1.85 -3032.820769535218
1.5 1.95 -3033.9920568689467
1.5 2.05 -3034.814148519942
1.5 2.15 -3035.3882382280226
1.5 2.25 -3035.7870430069847
1.5 2.35 -3036.0579895990923
1.5 2.45 -3036.2311982986876
1.5 2.55 -3036.3249524428106
1.5 2.65 -3036.3482862149663
1.5 2.75 -3036.3035914968723
1.5 2.85 -3036.192672404089
1.5 2.95 -3036.022198449802
1.5 3.05 -3035.977256108003
1.5 3.15 -3036.0427240058802
1.5 3.25 -3036.0770647877584
1.5 3.35 -3036.096722300301
1.5 3.45 -3036.1082680956665
1.5 3.55 -3036.1149240031523
1.5 3.65 -3036.1186846180935
1.5 3.75 -3036.120271042486
1.5 3.85 -3036.120807106989
