"R [A]" "MRCI1 [eV]" "MRCI2 [eV]" "MRCI3 [eV]" "MRCI4 [eV]" "MRCI5 [eV]" "MRCI6 [eV]" "MRCI7 [eV]"
0.8 -2944.504420194201 -2926.295555303457 -2925.9349743725966 -2925.3441224445187 -2924.969685470764  
0.85 -2949.8147050951384 -2933.8791482630795 -2933.1020043961616 -2932.831161207359 -2931.847488286321  
0.9 -2953.28693638143 -2939.6598202415603 -2938.802332006517 -2938.6219476617703 -2935.6945538327514  
0.95 -2955.426837849595 -2943.8791757825925 -2942.967534148171 -2942.845033885208 -2938.240454773007  
1 -2956.609951256068 -2946.9202996416116 -2946.0002823394702 -2945.8684839424604 -2939.872809281114  
1.05 -2957.2520422430025 -2949.203920819418 -2948.306812791653 -2948.0993748769038 -2941.757470575  
1.1 -2957.301273100826 -2950.694376060282 -2949.853685420052 -2949.570670573774 -2943.186243023185  
1.15 -2957.051371802463 -2951.6776054355632 -2950.923183084389 -2950.5588687499835 -2944.2862256145727 -2940.407287359891 -2937.977532821609
1.2 -2956.62005756858 -2952.2470147835143 -2951.6195199894482 -2951.174839517801 -2945.113911928607 -2941.6121589986865 -2939.376046197331
1.25 -2956.1182685399376 -2952.4863689447498 -2952.047046396994 -2951.5171207847843 -2945.7512164309674 -2942.490254423996 -2940.971948319223
1.3 -2955.6453127066025 -2952.44589471419 -2952.287010093502 -2951.6741142134438 -2946.3047152756185 -2943.1717692815996 -2942.427771616271
1.35 -2955.247876660864 -2952.3894419518415 -2952.1713290064017 -2951.692930893847 -2946.781287503495 -2943.7996885734447 -2943.7601966742845
1.4 -2954.933655785539 -2952.3952869597233 -2951.7301696894096 -2951.6144314583776 -2947.1986749448542 -2944.9259192775107 -2944.630406237004
1.45 -2954.680951713377 -2952.335824616966 -2951.47061378771 -2951.2005624505346 -2947.569783964866 -2945.91502359321 -2945.5360559220044
1.5 -2954.4660633183753 -2952.233942428828 -2951.2861069164537 -2950.6475044305 -2947.904149436724 -2946.739768355326 -2946.3309987631114
1.55 -2954.2742120913117 -2952.1062638371873 -2951.0796159582887 -2950.1154644928133 -2948.2114640597188 -2947.4192722907574 -2946.982072231898
1.6 -2954.0980264649834 -2951.964625799347 -2950.865527578332 -2949.6332459002456 -2948.500824603567 -2947.972888144412 -2947.4920736598833
1.65 -2953.9341050148764 -2951.8172053398357 -2950.655259678388 -2949.2255457158985 -2948.769338496863 -2948.4175631737803 -2947.874845484264
1.7 -2953.780809614947 -2951.6694447378727 -2950.45891040755 -2949.1005474467734 -2948.813069931535 -2948.7663071473376 -2948.153656169844
1.75 -2953.6375661047373 -2951.5248025619035 -2950.2870731623175 -2949.3162331356807 -2949.026075297927 -2948.5709429290373 -2948.3489469173746
1.8 -2953.503171740539 -2951.3855428000825 -2950.1557672915765 -2949.5217308778883 -2949.197169672045 -2948.5374946809516 -2948.3332350572664
1.85 -2953.3773380815537 -2951.2526804374847 -2950.082190397662 -2949.695301489052 -2949.273032323232 -2948.6485579941336 -2948.1961141111788
1.9 -2953.259640630002 -2951.1268794321745 -2950.0691479755114 -2949.836523192532 -2949.2599654108253 -2948.7429162312496 -2948.1010728680203
1.95 -2953.149703868619 -2951.008395571276 -2950.092677669719 -2949.948128012496 -2949.1891858484296 -2948.8210700819886 -2948.0448677293757
2 -2953.0471849338123 -2950.8972424604867 -2950.1259898608246 -2950.033694247533 -2949.0933173788294 -2948.8871502362776 -2948.019446843139
2.05 -2952.9517545676895 -2950.793313975362 -2950.1548910846222 -2950.096862782439 -2948.991296412571 -2948.944653358516 -2948.017786947977
2.1 -2952.863105281475 -2950.696468616642 -2950.1741540319217 -2950.141037762868 -2948.9963822225022 -2948.8922605364655 -2948.034282496293
2.15 -2952.7809431920905 -2950.6065975387423 -2950.182556911037 -2950.16928047088 -2949.0445599992977 -2948.8006969097282 -2948.0644272808927
2.2 -2952.7050179546923 -2950.5236762514073 -2950.184287555829 -2950.180420816443 -2949.0908901222974 -2948.7190082986363 -2948.104319187575
2.25 -2952.635100993553 -2950.447789109963 -2950.188418245757 -2950.168567532302 -2949.1365644506513 -2948.6486124169255 -2948.150284677867
2.3 -2952.570993665481 -2950.379066729113 -2950.1837052319524 -2950.1479412940585 -2949.1822387790053 -2948.5902929528042 -2948.198734568623
2.4 -2952.4594704797046 -2950.2627434530646 -2950.1545182884956 -2950.084892489295 -2949.273565666596 -2948.5100220554486 -2948.290107715587
2.45 -2952.4116518933383 -2950.213760218945 -2950.1328253635247 -2950.0456346081414 -2949.3181406545473 -2948.4863100448874 -2948.3282716986178
2.5 -2952.3688184347375 -2950.169204278971 -2950.107916051535 -2950.003859672848 -2949.3608897578206 -2948.4711941143537 -2948.3599185522817
2.55 -2952.3306925476613 -2950.1277939763863 -2950.080696492016 -2949.9614180583512 -2949.4009857499736 -2948.462407554553 -2948.3851081416515
2.6 -2952.296969464475 -2950.0886041237227 -2950.051928604059 -2949.9196784978735 -2949.437770115222 -2948.457765290378 -2948.404485376814
2.65 -2952.2673335329823 -2950.0510932141988 -2950.0222436920535 -2949.8795226406487 -2949.470804750087 -2948.455479533106 -2948.4189319070038
