"""HeNR (Jacobi)"" 	NNR 	MRCI1"
"2.45 	2.9 	-3026.0560219070376"
"2.5 	3 	-3026.031207834934"
"2.55 	3.1 	-3026.0071230282456"
"2.6 	3.2 	-3025.9841375619603"
"2.7 	3.4 	-3025.94206330131"
"2.75 	3.5 	-3025.9230071606216"
"2.8 	3.6 	-3025.9051918595947"
"2.9 	3.8 	-3025.872927307239"
"2.95 	3.9 	-3025.8583120663934"
"3.45 	4.9 	-3025.753390365311"
"1.4500000000000002 	0.7 	-2979.160573989781"
"1.5 	0.8 	-3002.9523329898716"
"1.55 	0.9 	-3015.806999228651"
"1.6 	1 	-3022.728767496887"
"1.7000000000000002 	1.2 	-3027.6512464651664"
"1.75 	1.3 	-3028.1894579474883"
"1.8 	1.4 	-3028.2595599461215"
"1.85 	1.5 	-3028.156045074217"
"1.9000000000000001 	1.6 	-3028.0294250058846"
"1.9500000000000002 	1.7 	-3027.9786648676"
"2 	1.8 	-3027.8637620264276"
"2.05 	1.9 	-3027.796669608204"
"2.1 	2 	-3026.5769078934627"
"2.1500000000000004 	2.1 	-3026.638811098451"
"2.2 	2.2 	-3026.676017240338"
"2.25 	2.3 	-3026.693557706264"
"2.3 	2.4 	-3026.696804025819"
"2.35 	2.5 	-3026.6903467615243"
"2.4000000000000004 	2.6 	-3026.677715231455"
"2.45 	2.7 	-3026.6614455377266"
"2.5 	2.8 	-3026.643295536528"
"2.55 	2.9 	-3026.624462529287"
"2.6 	3 	-3026.60574108877"
"2.6500000000000004 	3.1 	-3026.5876264623867"
"2.7 	3.2 	-3026.570401648655"
"2.75 	3.3 	-3026.554208146836"
"2.8 	3.4 	-3026.539081331744"
"2.85 	3.5 	-3026.524980386285"
"2.9000000000000004 	3.6 	-3026.511848166527"
"2.95 	3.7 	-3026.4996084805616"
"3 	3.8 	-3026.48817697306"
"3.05 	3.9 	-3026.4774801732533"
"3.1 	4 	-3026.467469100628"
"3.3000000000000003 	4.4 	-3026.433253491172"
"3.5 	4.8 	-3026.40661081325"
