"R [A]" "MRCI1 [eV]" "MRCI2 [eV]" "MRCI3 [eV]" "MRCI4 [eV]" "MRCI5 [eV]" "MRCI6 [eV]" "MRCI7 [eV]" "MRCI8 [eV]"
0.75 -2936.6817587930027 -2918.137687598262 -2915.3306715433096 -2914.8445426731228 -2914.360000227329   
0.8 -2944.504420194201 -2926.295555303457 -2925.9349743725966 -2925.3441224445187 -2924.969685470764   
0.85 -2949.8147050951384 -2933.8791482630795 -2933.1020043961616 -2932.831161207359 -2931.847488286321   
0.9 -2953.28693638143 -2939.6598202415603 -2938.802332006517 -2938.6219476617703 -2935.6945538327514   
0.95 -2955.421093523878 -2943.874623316025 -2942.964157213915 -2942.842214784572    
1 -2956.6213392253358 -2946.927390931435 -2946.0078389441674 -2945.8802392655753 -2939.95642445905 -2939.3892410033004  
1.05 -2957.2520422430025 -2949.203920819418 -2948.306812791653 -2948.0993748769038 -2941.757470575   
1.1 -2957.3032323213456 -2950.698041435337 -2949.856746702113 -2949.5739468258644 -2943.2007603030042 -2938.7723967496677  
1.15 -2957.051371802463 -2951.6776054355632 -2950.923183084389 -2950.5588687499835 -2944.2862256145727 -2940.407287359891 -2937.977532821609 
1.2 -2956.6218997800956 -2952.249213464319 -2951.6221567737302 -2951.176725267551 -2945.1179473786488 -2941.6172801834323 -2939.381292554499 -2939.0637981482237
1.25 -2956.120932535616 -2952.4888261338174 -2952.049718556091 -2951.520960312774 -2945.758337653326 -2942.4963824303973 -2940.9804328325267 -2940.2668275755022
1.3 -2955.6478270396024 -2952.4482348942547 -2952.289431907755 -2951.677398628953 -2946.3096704708482 -2943.1808170708027 -2942.435292846153 -2941.611315445407
1.35 -2955.250293032838 -2952.3917902953244 -2952.1737317726775 -2951.6957853692975 -2946.7857855472703 -2943.815580028767 -2943.7662838635924 -2942.8370201290563
1.4 -2954.936132022584 -2952.397880205772 -2951.7328364062278 -2951.617128107731 -2947.2034831985447 -2944.9300989479516 -2944.638243119081 -2943.5754122467883
1.45 -2954.683640199312 -2952.3385974582284 -2951.473272341109 -2951.203425089404 -2947.5745677283003 -2945.9181039232485 -2945.539702249082 -2943.9733517033546
1.5 -2954.4690837833423 -2952.236845884792 -2951.2887056047816 -2950.6504242133014 -2947.9086665284763 -2946.7422881306043 -2946.3335756823217 -2944.2694416254585
1.55 -2954.27764344836 -2952.1093033501315 -2951.0821847140805 -2950.1183489007994 -2948.2156518935785 -2947.4214546447247 -2946.984257307005 -2944.542007295634
1.6 -2954.1019149734857 -2951.9678231383887 -2950.8681208243806 -2949.636026904927 -2948.5046586892777 -2947.974839201512 -2947.494136283708 -2944.8123225833515
1.65 -2953.9384561171128 -2951.820584995231 -2950.6579372797646 -2949.2281117505504 -2948.7728977474726 -2948.419337356806 -2947.8769462040427 -2945.077094909684
1.7 -2953.785596099521 -2951.6730339210185 -2950.4617022967896 -2949.103088991169 -2948.8162101266453 -2948.767937109964 -2948.1558766197654 -2945.325554004054
1.75 -2953.6426736837852 -2951.528636647614 -2950.2899602914435 -2949.318771958937 -2949.027607299527 -2948.573835500443 -2948.351336077952 -2945.553337879667
1.8 -2953.503171740539 -2951.3855428000825 -2950.1557672915765 -2949.5217308778883 -2949.197169672045 -2948.5374946809516 -2948.3332350572664 
1.85 -2953.379191177628 -2951.2564138410294 -2950.0892191012745 -2949.699236256928 -2949.2772990701405 -2948.6528410678798 -2948.200125070964 -2946.1831157098663
1.9 -2953.2617386286415 -2951.1309148822165 -2950.07557802841 -2949.8405069409205 -2949.2653723152303 -2948.7471122285287 -2948.1053287303703 -2946.479768907869
1.95 -2953.1520440486834 -2951.012659597045 -2950.098664176861 -2949.9522070007715 -2949.195724746912 -2948.8252987329424 -2948.049485503294 -2946.7325083548462
2 -2953.0497727375814 -2950.90168608147 -2950.1318076573107 -2950.0379092927883 -2949.1008739835265 -2948.891471405979 -2948.0246142872584 -2946.9462212175363
2.05 -2952.954589995163 -2950.7978827687675 -2950.1607442559234 -2950.10125198063 -2948.9998652812033 -2948.9490969794997 -2948.0236591672556 -2947.125133425754
2.1 -2952.8661828903737 -2950.7011054385375 -2950.1801840772973 -2950.145639209948 -2949.000964621606 -2948.9019668414544 -2948.0409329615 -2947.2728777008792
2.15 -2952.7842520978566 -2950.6112452451966 -2950.188850906955 -2950.174121378246 -2949.0492648496834 -2948.8117773902204 -2948.0717716367 -2947.392545257508
2.2 -2952.7085336670684 -2950.5282776984877 -2950.1893978560165 -2950.187025022277 -2949.0956738857317 -2948.731770443407 -2948.1120907623012 -2947.486778322202
2.25 -2952.6387908588645 -2950.4523034805766 -2950.1938169867435 -2950.175479226911 -2949.1413373295272 -2948.663339224495 -2948.1580671371516 -2947.557914353887
2.3 -2952.574811424354 -2950.3834913021187 -2950.1894087405753 -2950.1551060546517 -2949.1868810431797 -2948.607093268756 -2948.2060762032906 -2947.6082091772987
2.35 -2952.516383114648 -2950.3219146338843 -2950.1779282525604 -2950.126879673477 -2949.2324084299944 -2948.5628910769315 -2948.252879804583 -2947.640079164411
2.4 -2952.4633018442755 -2950.2672224488624 -2950.1608639860665 -2950.0920953458426 -2949.2775847897997 -2948.5297856924362 -2948.2958819738396 -2947.6562835507884
2.45 -2952.415344479789 -2950.2184569059123 -2950.1394921555693 -2950.052535418192 -2949.3217597702287 -2948.5061580372026 -2948.3333683931073 -2947.659908108749
2.5 -2952.372277003182 -2950.174230223831 -2950.1148876112156 -2950.0102842834676 -2949.364130635096 -2948.4900053524775 -2948.364577143294 -2947.654136571636
