"R [A]" "MRCI1 [eV]" "MRCI2 [eV]" "MRCI3 [eV]" "MRCI4 [eV]" "MRCI5 [eV]" "MRCI6 [eV]" "MRCI7 [eV]" "MRCI8 [eV]"
0.85 -2947.1944598995983 -2935.8211085937332 -2930.780684550198 -2925.66506997696    
0.9 -2951.756507599695 -2940.3050405390454 -2935.458582048051 -2930.100750674708    
1 -2957.018288187084 -2945.534725284735 -2941.151170737356 -2937.5364469753868 -2936.6430832357255   
1.05 -2958.3004429119433 -2946.8300503253063 -2942.7139157731003 -2940.1096273402327 -2939.3725794654683 -2937.985658144485  
1.1 -2959.02079931634 -2947.579237203871 -2943.776771135649 -2941.9582444188445 -2941.408035431982 -2939.9496134466062 -2938.819540493411 
1.15 -2959.33519706574 -2947.9502319360195 -2944.525642362019 -2943.1910676037137 -2942.9194080730285 -2941.5016888939394 -2941.211737862796 
1.2 -2959.3701228926343 -2948.0859025146947 -2945.0889155401496 -2944.0485531176164 -2943.972943532413 -2943.2386603354926 -2942.5494038356983 -2942.290911899586
1.25 -2959.206979688456 -2948.1021803718418 -2945.477649381415 -2945.010783458528 -2944.9026589761243 -2944.196683794566 -2943.894765191418 -2943.3360199895988
1.3 -2958.9166531400465 -2948.092046847934 -2946.318081513383 -2945.6496825486993 -2945.5875670948217 -2945.083361694206 -2944.5941334460026 -2944.0571083805507
1.35 -2958.5432447570643 -2948.1280774575102 -2947.3387265583015 -2946.5197696601363 -2945.7311888434374 -2945.678793300247 -2945.2329753922427 -2944.6899610985083
1.4 -2958.123582442991 -2948.350261227806 -2948.010975935533 -2947.3474913489854 -2946.328195989313 -2946.1004556519333 -2945.1834506513405 -2945.047029038133
1.45 -2957.682801364405 -2948.9485990109506 -2948.155713351389 -2948.040698943493 -2947.0038930504306 -2946.3529474752054 -2945.3195021895613 -2944.8870559616007
1.5 -2957.2387930142413 -2949.486497562218 -2948.6064347529705 -2948.228716084846 -2947.5576395187863 -2946.5343141513517 -2945.53517699391 -2944.5785222680606
1.55 -2956.80349231083 -2949.9184104468154 -2949.061727669097 -2948.311084980841 -2947.977250131207 -2946.6660118661966 -2945.7132157163137 -2944.537824904053
1.6 -2956.3873103343176 -2950.2576658065523 -2949.4256719285154 -2948.4907999252437 -2948.1991781143793 -2946.763844998595 -2945.871281273979 -2945.291207779897
1.65 -2955.9954607881987 -2950.517153679762 -2949.712229698566 -2948.7370712233674 -2948.2737509453914 -2946.837759313821 -2946.0740469920183 -2945.9022342370426
1.7 -2955.6304389574943 -2950.708479726881 -2949.93337671467 -2948.947401709522 -2948.3155939091744 -2946.8942474509854 -2946.5829490796013 -2946.0989454194496
1.75 -2955.293907458507 -2950.842106729709 -2950.0998805262666 -2949.1097285718174 -2948.3493169923613 -2947.0692167279085 -2946.939031966687 -2946.2236715746135
1.8 -2954.9862091548266 -2950.9271913230345 -2950.2209222583983 -2949.228721285823 -2948.3816985537205 -2947.4818938766025 -2946.9777156873824 -2946.3616333528407
1.85 -2954.7063181768212 -2950.970732277934 -2950.302741484192 -2949.3081186973636 -2948.4170624840917 -2947.8383386752557 -2947.012753081001 -2946.91374985857
1.9 -2954.4539433625523 -2950.9817392876566 -2950.355022739519 -2949.3592625163337 -2948.466804916163 -2948.1169860924597 -2947.1988599823476 -2947.072716113447
1.95 -2954.2245295243124 -2950.96315390412 -2950.3783810019313 -2949.382857517892 -2948.5485914882806 -2948.3110577694447 -2947.429490169993 
2 -2954.021981497442 -2950.9280566454304 -2950.388302276949 -2949.3900739801375 -2948.697206528081 -2948.4251007304997 -2947.620334575401 -2947.319501706957
2.05 -2953.838206612741 -2950.874344070669 -2950.3787483557785 -2949.3787213856845 -2948.8548067708734 -2948.492925135279 -2947.768062523688 -2947.455028065233
2.1 -2953.672987179041 -2950.8088816150707 -2950.3566309330286 -2949.354549502529 -2948.997976810314 -2948.553217425618 -2947.8815394877042 -2947.5657811684996
2.15 -2953.52409730414 -2950.7352720674808 -2950.324725571101 -2949.320995129998 -2949.1215138274683 -2948.6136729843333 -2947.9671410975557 -2947.653992351237
2.2 -2953.3895641618215 -2950.656535892865 -2950.28545136311 -2949.2863033211106 -2949.2206068475057 -2948.674637396156 -2948.0311450223226 -2947.723041268841
2.25 -2953.2677006455274 -2950.575154770549 -2950.240873654019 -2949.3286061574872 -2949.221178286824 -2948.7347092741857 -2948.079143203903 -2947.775855867531
2.3 -2953.1570808781016 -2950.4931205747266 -2950.1927421365976 -2949.402357204337 -2949.172597781367 -2948.792416481895 -2948.1156037535375 -2947.8149940185417
2.35 -2953.0565293272325 -2950.411997960673 -2950.1425235050947 -2949.466186976169 -2949.1197396444427 -2948.846583486972 -2948.1438138078743 -2947.842676171794
2.4 -2952.9650609403825 -2950.332997835516 -2950.0914422723363 -2949.519725397996 -2949.06666109521 -2948.8958469984714 -2948.1660944990012 -2947.860831615272
2.45 -2952.881856654527 -2950.257026338744 -2950.040502538837 -2949.563982012613 -2949.019887426454 -2948.934900794154 -2948.1840649049855 -2947.871117522998
2.5 -2952.8062089733694 -2950.184750149563 -2949.9905179253406 -2949.600012622189 -2949.0127988577697 -2948.931346985824 -2948.198870625604 -2947.87494072415
2.55 -2952.737516525054 -2950.116634582845 -2949.9421387842144 -2949.6287886735645 -2949.0444021732 -2948.8870359484145 -2948.211330723878 -2947.8734930778774
2.7 -2952.5679296622798 -2949.9398013252894 -2949.811031556665 -2949.6796903111094 -2949.1454598560363 -2948.7420808413895 -2948.23978295964 -2947.846806861722
