"R [A]" "MRCI1 [eV]" "MRCI2 [eV]" "MRCI3 [eV]" "MRCI4 [eV]" "MRCI5 [eV]" "MRCI6 [eV]" "MRCI7 [eV]" "MRCI8 [eV]"
0.85 -2938.5976941444264 -2931.793813807514 -2930.2465357293136 -2929.1899471512866    
0.9 -2943.298256014091 -2937.344212067638 -2936.275468158973 -2935.693049042547 -2932.533286217671 -2931.6754578401774  
0.95 -2946.6678976159465 -2941.9957145112744 -2940.5888145832746 -2940.5226827273327 -2936.681609130324 -2935.41170497599  
1 -2948.9323864611542 -2945.5182923226303 -2944.1996280676244 -2943.708192975198 -2939.426912460061 -2938.661741607427 -2934.8506168729664 
1.05 -2950.425170997525 -2948.1335088521714 -2946.8649217294083 -2946.1482252577866 -2941.629457283187 -2940.673662437454 -2937.374443928705 
1.1 -2951.361825347242 -2950.049710875277 -2948.818939429674 -2947.9823223354397 -2943.5230928955066 -2941.783642495769 -2938.962109160998 -2938.4545077781486
1.15 -2951.9045457578977 -2951.4180794663994 -2950.2321279113125 -2949.3285109176013 -2945.01997818927 -2942.457453807137 -2939.990063186909 -2939.6532323625643
1.2 -2952.476798696741 -2952.072069996848 -2951.2387890197756 -2950.2921127128757 -2946.1976493165234 -2942.8942538584733 -2940.6147470437577 -2940.4658326786007
1.25 -2953.1380465065295 -2952.144452310474 -2951.937210317776 -2950.9497169167257 -2947.1278382385267 -2943.1783353914784 -2941.069253550537 
1.3 -2953.5946673387857 -2952.4046395165633 -2952.1127836876926 -2951.3420889216504 -2947.8642493666225 -2943.390494483451 -2942.182213256725 -2941.3270733651657
1.35 -2953.88949465211 -2952.703722692238 -2952.1044787696032 -2951.461214971497 -2948.4598415199007 -2943.7329172496943 -2943.1082687676603 -2941.9363773409386
1.4 -2954.0630598209946 -2952.8746456345607 -2952.160400909728 -2951.3462713132312 -2948.9315102542 -2944.5865387453514 -2943.3667334923766 -2942.463423987441
1.45 -2954.1454314381285 -2952.9482007593588 -2952.2026112273584 -2951.1303760965734 -2949.297623261888 -2945.451689709536 -2943.5118491466383 
1.5 -2954.1678046480024 -2952.9542988332246 -2952.205688836257 -2950.897721381058 -2949.578401331406 -2946.2028956736917 -2943.8134548187318 -2942.8696329872823
1.55 -2954.1425851260965 -2952.9081346997414 -2952.169475910327 -2950.671009634451 -2949.7837330840975 -2946.827533271167 -2944.132892118689 -2943.2352425841423
1.6 -2954.0870548300754 -2952.8238256312043 -2952.1017766779705 -2950.4750903036706 -2949.9100619904916 -2947.350642428654 -2944.443937424089 -2943.5842858830565
1.65 -2954.010862920996 -2952.7126072130645 -2952.0119953976778 -2950.338363922827 -2949.9483212134087 -2947.7832138290364 -2944.725760411218 -2943.9041667287706
1.7 -2953.921625868625 -2952.5825095283103 -2951.907062812037 -2950.2804335816695 -2949.889525549855 -2948.1389184777163 -2944.9801461476586 -2944.195508262255
1.8 -2953.7246507356763 -2952.2875924173786 -2951.6717740333793 -2950.2411648159573 -2949.66859078264 -2948.671948910221 -2945.4587429034054 -2945.2745761746
1.85 -2953.6232202567135 -2952.1313010427384 -2951.5482234105266 -2950.203901530138 -2949.574545476579 -2948.858257175899 -2945.7722726092693 -2945.538997473923
1.9 -2953.5228319742214 -2951.9731892256996 -2951.4243135972456 -2950.1520692628465 -2949.5052543775496 -2948.9959849361194 -2946.1066598502443 -2945.7301221567104
1.95 -2953.4247920352122 -2951.8154556470663 -2951.3016119699514 -2950.0879864250314 -2949.4709843453015 -2949.0813443645457 -2946.4181024420272 -2945.9037199792697
2 -2953.3298950124536 -2951.6599180280987 -2951.181076369787 -2950.0143496660453 -2949.478753198888 -2949.1130075450474 -2946.701237018448 -2946.126755466264
2.05 -2953.2383531548335 -2951.50724576914 -2951.0629272090605 -2949.9345631315405 -2949.5163239734834 -2949.104778818867 -2946.9591956111967 -2946.4895405202087
2.1 -2953.1511351880536 -2951.3591123710503 -2950.9491209871517 -2949.8560528115127 -2949.555810430364 -2949.080391965682 -2947.1890502740534 -2946.7434854320327
2.2 -2952.989415139892 -2951.0787370301946 -2950.7340393912373 -2949.7500943562386 -2949.5643602510186 -2949.034029189007 -2947.5743990176443 -2947.113239324519
2.25 -2952.9150600000485 -2950.9475019090833 -2950.633172188174 -2949.748570518057 -2949.5068952247343 -2949.019125507363 -2947.7316455122877 -2947.247328921081
2.3 -2952.8451049429545 -2950.822724052267 -2950.537039768032 -2949.7610605488667 -2949.430368615482 -2949.0113212789615 -2947.8662357985377 -2947.3552656448514
2.35 -2952.7795554108898 -2950.7046510834493 -2950.4458353317236 -2949.7748866592256 -2949.3489820508867 -2949.0109375982765 -2947.9792420054014 -2947.4416373372123
2.4 -2952.7184005192944 -2950.593443549868 -2950.3597139842063 -2949.7863535415418 -2949.2677968506227 -2949.0178628985836 -2948.0721090580114 -2947.510201891965
2.45 -2952.661599451075 -2950.4891858068504 -2950.2788063401827 -2949.7945251237907 -2949.188894686491 -2949.0315284617054 -2948.146687331303 -2947.564047802568
2.5 -2952.609081456602 -2950.3918914600945 -2950.203218524096 -2949.799287118108 -2949.1133204761027 -2949.0509111391475 -2948.2051999963364 -2947.6056975654387
2.55 -2952.56074313257 -2950.3015088079487 -2950.1330158432975 -2949.8007864660335 -2949.074780975806 -2949.041536813191 -2948.2501096844603 -2947.6372355735184
2.6 -2952.516451143138 -2950.2179344471065 -2950.0682663262774 -2949.7992299741763 -2949.1014100480297 -2948.9740852045384 -2948.2839252863932 -2947.6603843081807
